Lambda(micron),Flux(Jy)
5.187600088102044538e+00,1.115695183476910074e-01
5.188400088081834838e+00,1.129290166503524734e-01
5.189200088061625138e+00,1.153804296086815839e-01
5.190000088041415438e+00,1.151142176883651752e-01
5.190800088021205738e+00,1.150645020123793744e-01
5.191600088000996038e+00,1.153085834969351658e-01
5.192400087980786338e+00,1.162957584013504242e-01
5.193200087960576639e+00,1.155982065593939290e-01
5.194000087940366939e+00,1.143305761887883215e-01
5.194800087920157239e+00,1.125504541413435422e-01
5.195600087899947539e+00,1.137794893612217723e-01
5.196400087879737839e+00,1.134417812214918997e-01
5.197200087859528139e+00,1.133875360776975122e-01
5.198000087839318439e+00,1.118960167962623903e-01
5.198800087819108739e+00,1.095087969865012750e-01
5.199600087798899040e+00,1.109114790909422749e-01
5.200400087778689340e+00,1.129424213520504594e-01
5.201200087758479640e+00,1.094262443664586887e-01
5.202000087738269940e+00,1.069256373400112592e-01
5.202800087718060240e+00,1.108635284404272253e-01
5.203600087697850540e+00,1.148047638903731821e-01
5.204400087677640840e+00,1.152014203517376101e-01
5.205200087657431141e+00,1.141068748603206034e-01
5.206000087637221441e+00,1.152586106648823133e-01
5.206800087617011741e+00,1.166025757788811956e-01
5.207600087596802041e+00,1.157106862699087690e-01
5.208400087576592341e+00,1.141879240708009585e-01
5.209200087556382641e+00,1.123854915482428579e-01
5.210000087536172941e+00,1.121087454479667567e-01
5.210800087515963241e+00,1.124645940852884857e-01
5.211600087495753542e+00,1.132118091361641737e-01
5.212400087475543842e+00,1.117068504245382482e-01
5.213200087455334142e+00,1.095359012609397747e-01
5.214000087435124442e+00,1.139941677255573438e-01
5.214800087414914742e+00,1.162946841847657675e-01
5.215600087394705042e+00,1.153872426881498853e-01
5.216400087374495342e+00,1.123770858354966318e-01
5.217200087354285643e+00,1.121781174864140002e-01
5.218000087334075943e+00,1.165007029185328724e-01
5.218800087313866243e+00,1.183385043724813623e-01
5.219600087293656543e+00,1.161925555679997057e-01
5.220400087273446843e+00,1.126689228172765705e-01
5.221200087253237143e+00,1.116618188868263722e-01
5.222000087233027443e+00,1.123406898585178199e-01
5.222800087212817743e+00,1.127533243016347886e-01
5.223600087192608044e+00,1.148745138428692025e-01
5.224400087172398344e+00,1.159220908297445146e-01
5.225200087152188644e+00,1.157500301562817968e-01
5.226000087131978944e+00,1.159663171971276330e-01
5.226800087111769244e+00,1.172591858254736219e-01
5.227600087091559544e+00,1.173889236397828301e-01
5.228400087071349844e+00,1.179673559655880638e-01
5.229200087051140144e+00,1.172284238094973841e-01
5.230000087030930445e+00,1.163852304927290998e-01
5.230800087010720745e+00,1.151131974050107060e-01
5.231600086990511045e+00,1.141894737310022861e-01
5.232400086970301345e+00,1.160018658318299478e-01
5.233200086950091645e+00,1.183619983998259462e-01
5.234000086929881945e+00,1.170422641277818199e-01
5.234800086909672245e+00,1.150010351068918441e-01
5.235600086889462546e+00,1.152745780707831458e-01
5.236400086869252846e+00,1.180500259425185799e-01
5.237200086849043146e+00,1.176926624033685087e-01
5.238000086828833446e+00,1.170276491239239242e-01
5.238800086808623746e+00,1.154108232276494367e-01
5.239600086788414046e+00,1.124809381901620553e-01
5.240400086768204346e+00,1.103285638929362850e-01
5.241200086747994646e+00,1.120529655477263270e-01
5.242000086727784947e+00,1.155428637436894529e-01
5.242800086707575247e+00,1.163491696076779380e-01
5.243600086687365547e+00,1.167647305066037977e-01
5.244400086667155847e+00,1.154237369221238069e-01
5.245200086646946147e+00,1.144809063430939911e-01
5.246000086626736447e+00,1.160109390523461764e-01
5.246800086606526747e+00,1.181635790940463171e-01
5.247600086586317047e+00,1.191472609936530813e-01
5.248400086566107348e+00,1.189915453939812268e-01
5.249200086545897648e+00,1.187230822408410214e-01
5.250000086525687948e+00,1.173541495086584258e-01
5.250800086505478248e+00,1.157104207356370040e-01
5.251600086485268548e+00,1.160827834945919873e-01
5.252400086465058848e+00,1.178022460342320887e-01
5.253200086444849148e+00,1.187853324829626495e-01
5.254000086424639449e+00,1.186411655002280324e-01
5.254800086404429749e+00,1.192907066721439618e-01
5.255600086384220049e+00,1.180643714844812342e-01
5.256400086364010349e+00,1.163153904334342237e-01
5.257200086343800649e+00,1.140878312806575812e-01
5.258000086323590949e+00,1.144766615978660695e-01
5.258800086303381249e+00,1.188622852057514973e-01
5.259600086283171549e+00,1.207664810629644203e-01
5.260400086262961850e+00,1.200497470130178629e-01
